ID T IDR EventType X Y
431 47209 2 SEND1 2 0
432 47243 2 GET1 3 7
433 47405 1 SEND1 1 1
434 47449 2 SEND1 1 1
435 47557 2 GET2 3 7
436 47748 2 SEND2 4 1
437 47803 2 GET2 3 7
438 47925 1 GET1 3 7
439 48020 2 SEND2 4 1
440 48125 1 SEND1 1 1
441 48341 1 GET1 3 7
442 48383 1 SEND1 0 0
443 48549 1 GET1 3 7
444 48635 1 SEND1 1 1
445 48653 2 GET1 4 6
446 48767 2 SEND1 1 1
447 48783 1 GET1 4 6
448 49025 1 SEND1 1 1
449 49133 2 GET1 3 7
450 49185 2 SEND1 1 1
451 49265 2 GET1 3 7
452 49439 1 GET1 3 7
453 49675 2 SEND1 0 0
454 49787 1 SEND1 2 0
455 49841 1 GET1 3 7
456 49911 2 GET1 3 7
457 49941 1 SEND1 2 0
458 49951 2 SEND1 2 0
459 49971 1 GET1 3 7
460 49975 2 GET1 3 7
461 50037 1 SEND1 1 1
462 50077 1 GET1 5 7
463 50459 2 SEND1 1 1
464 50653 2 GET1 4 6
465 50705 1 SEND1 2 0
466 50745 1 GET1 4 6
467 50813 1 SEND1 1 1
468 51039 2 SEND1 1 1
469 51145 2 GET2 4 6
470 51383 1 GET1 5 7
471 51553 1 SEND1 1 1
472 51610 2 SEND2 3 0
473 51687 2 GET1 3 7
474 51689 1 GET1 4 6
475 51919 1 SEND1 1 1
476 51979 2 SEND1 1 1
477 52099 1 GET1 4 6
478 52143 1 SEND1 1 1
479 52233 2 GET1 5 7
480 52327 1 GET2 3 7
481 52519 2 SEND1 1 1
482 52843 2 GET1 3 7
483 52869 2 SEND1 1 1
484 52980 1 SEND2 3 0
485 52987 2 GET1 3 7
486 53155 1 GET1 3 7
487 53227 2 SEND1 2 0
488 53253 1 SEND1 1 1
489 53355 1 GET3 3 7
490 53503 1 SEND3 6 0
491 53549 2 GET2 3 7
492 53598 2 SEND2 4 1
493 53673 1 GET1 3 7
494 53755 1 SEND1 1 1
495 53883 2 GET1 5 7
496 54029 2 SEND1 2 0
497 54087 1 GET1 5 7
498 54219 1 SEND1 2 0
499 54467 1 GET1 3 7
500 54503 2 GET1 4 6
501 54535 2 SEND1 0 0
502 54543 1 SEND1 2 0
503 54745 1 GET1 5 7
504 54821 2 GET1 3 7
505 55353 2 SEND1 1 1
506 55373 1 SEND1 1 1
507 55401 2 GET1 3 7
508 55441 1 GET1 3 7
509 55631 2 SEND1 1 1
510 55647 1 SEND1 1 1
511 55857 1 GET1 4 6
512 56007 1 SEND1 0 0
513 56117 1 GET1 3 7
514 56193 1 SEND1 2 0
515 56213 2 GET1 4 6
516 56291 1 GET1 3 7
517 56385 1 SEND1 1 1
518 56401 1 GET1 4 6
519 56509 1 SEND1 0 0
520 56725 2 SEND1 1 1
521 56783 1 GET1 3 7
522 56839 2 GET1 3 7
523 56861 2 SEND1 1 1
524 56969 2 GET1 3 7
525 57101 2 SEND1 1 1
526 57163 1 SEND1 1 1
527 57389 2 GET1 3 7
528 57527 2 SEND1 1 1
529 57583 2 GET1 3 7
530 57767 1 GET1 3 7
531 57849 2 SEND1 1 1
532 57897 1 SEND1 2 0
533 57960 2 GET1 5 7
534 58102 2 SEND1 1 1
535 58117 1 GET1 3 7
536 58208 2 GET1 5 7
537 58440 2 SEND1 1 1
538 58479 1 SEND1 1 1
539 58492 2 GET1 3 7
540 58532 2 SEND1 1 1
541 58611 1 GET1 3 7
542 58830 2 GET1 5 7
543 59058 2 SEND1 2 0
544 59343 1 SEND1 1 1
545 59464 2 GET1 3 7
546 59611 1 GET1 3 7
547 59744 2 SEND1 2 0
548 59803 1 SEND1 1 1
549 59839 1 GET2 5 7
550 59918 2 GET1 3 7
551 59976 2 SEND1 2 0
552 60090 2 GET1 3 7
553 60120 1 SEND2 4 1
554 60204 2 SEND1 1 1
555 60237 1 GET3 3 7
556 60446 2 GET1 4 6
557 60591 1 SEND3 7 1
558 60630 2 SEND1 1 1
559 60678 2 GET1 3 7
560 60732 2 SEND1 1 1
561 60757 1 GET3 4 6
562 60804 2 GET1 3 7
563 60886 2 SEND1 2 0
564 61176 2 GET1 5 7
565 61329 1 SEND3 7 1
566 61336 2 SEND1 1 1
567 61478 2 GET1 3 7
568 61574 2 SEND1 1 1
569 61638 2 GET1 4 6
570 61708 2 SEND1 1 1
571 61721 1 GET1 3 7
572 61743 1 SEND1 2 0
573 61817 1 GET1 3 7
574 61870 2 GET1 3 7
575 61997 1 SEND1 1 1
576 62203 1 GET1 5 7
577 62286 2 SEND1 2 0
578 62406 2 GET1 4 6
579 62947 1 SEND1 0 0
580 62997 1 GET1 3 7
581 63179 1 SEND1 1 1
582 63196 2 SEND1 1 1
583 63250 2 GET3 3 7
584 63563 1 GET2 3 7
585 63604 1 SEND2 4 1
586 63649 1 GET3 3 7
587 63724 2 SEND3 7 1
588 63966 2 GET1 5 7
589 64049 1 SEND3 6 0
590 64249 1 GET1 3 7
591 64307 1 SEND1 1 1
592 64357 1 GET1 5 7
593 64523 1 SEND1 2 0
594 64670 2 SEND1 2 0
595 64766 2 GET1 3 7
596 64893 1 GET1 3 7
597 64939 1 SEND1 1 1
598 65104 2 SEND1 2 0
599 65262 2 GET1 3 7
600 65343 1 GET1 3 7
601 65451 1 SEND1 1 1
602 65832 2 SEND1 1 1
603 65860 2 GET1 4 6
604 65995 1 GET1 4 6
605 66418 2 SEND1 2 0
606 66696 2 GET1 3 7
607 66770 2 SEND1 0 0
608 66962 2 GET1 3 7
609 67022 2 SEND1 2 0
610 67339 1 SEND1 1 1
611 67353 1 GET1 3 7
612 67398 2 GET1 3 7
613 67431 1 SEND1 1 1
614 67528 2 SEND1 2 0
615 67655 2 GET2 3 7
616 67810 2 SEND2 4 1
617 67962 1 GET1 4 6
618 68106 1 SEND1 1 1
619 68156 1 GET1 3 7
620 68270 1 SEND1 1 1
621 68412 1 GET1 3 7
622 68456 1 SEND1 2 0
623 68596 1 GET1 5 7
624 68721 2 GET1 4 6
625 68821 2 SEND1 2 0
626 68979 2 GET1 4 6
627 69054 1 SEND1 1 1
628 69317 2 SEND1 2 0
629 69334 1 GET2 3 7
630 69513 2 GET1 3 7
631 69571 2 SEND1 1 1
